Flow data
Thursday, March 24, 2022 11:59:59.341
TEMP_SMC1	FLOW_SMC1	TEMP_SMC2	FLOW_SMC2	TEMP_SMC3	FLOW_SMC3	valeur_HT
25.134838	0.071650	25.376788	0.066488	25.360658	0.071650	5094.282551
25.159033	0.075521	25.376788	0.069069	25.352593	0.078102	4722.452839
25.142903	0.075521	25.376788	0.066488	25.368723	0.069069	5117.316250
25.118708	0.069069	25.368723	0.065198	25.376788	0.076811	4895.205581
25.159033	0.076811	25.400983	0.069069	25.336463	0.069069	5146.931006
25.150968	0.076811	25.360658	0.065198	25.344528	0.074230	4770.165501
25.150968	0.071650	25.368723	0.067778	25.336463	0.071650	5109.089929
25.175163	0.079392	25.368723	0.069069	25.360658	0.075521	4760.293915
25.142903	0.071650	25.360658	0.066488	25.352593	0.067778	5097.573080
25.167098	0.072940	25.376788	0.063907	25.368723	0.071650	4784.972879
25.134838	0.070359	25.409048	0.062617	25.336463	0.069069	5104.154137
25.134838	0.076811	25.368723	0.065198	25.344528	0.071650	4681.321233
25.142903	0.075521	25.409048	0.070359	25.368723	0.074230	5072.894116
25.142903	0.072940	25.376788	0.069069	25.352593	0.067778	4770.165501
25.191293	0.075521	25.368723	0.066488	25.360658	0.075521	5104.154137
25.159033	0.076811	25.400983	0.069069	25.336463	0.067778	4696.128611
25.142903	0.069069	25.384853	0.062617	25.368723	0.070359	5076.184645
25.183228	0.076811	25.376788	0.067778	25.368723	0.071650	4747.131802
25.126773	0.072940	25.376788	0.065198	25.352593	0.074230	5102.508872
25.167098	0.075521	25.400983	0.066488	25.360658	0.069069	4658.287534
25.134838	0.074230	25.368723	0.066488	25.392918	0.072940	5067.958324
25.134838	0.072940	25.368723	0.065198	25.360658	0.074230	4780.037086
25.191293	0.075521	25.400983	0.072940	25.328398	0.071650	5112.380458
25.134838	0.072940	25.376788	0.070359	25.376788	0.072940	4786.618143
25.159033	0.075521	25.417113	0.071650	25.360658	0.069069	5099.218344
25.150968	0.072940	25.384853	0.063907	25.376788	0.074230	4763.584444
25.175163	0.076811	25.400983	0.069069	25.336463	0.069069	5104.154137
25.134838	0.075521	25.417113	0.063907	25.360658	0.071650	4743.841273
25.150968	0.074230	25.384853	0.067778	25.360658	0.076811	5120.606779
